context,text,text_second_person,action_1,action_2,action_3,action_4,action_5,action_6,downstream_event
1,"Heinz’s wife has recently fallen ill and needs an expensive medication that is not covered by her medical insurance. They don’t have the money needed to purchase the expensive prescription, but they know that it’s vital for her to have it if she is going to recover.","Your spouse has recently fallen ill and needs an expensive medication that is not covered by your medical insurance. You don’t have the money needed to purchase the expensive prescription, but you know that it’s vital for them to have it if they are going to recover.",commit credit card fraud,go on strike for better wages,search for the medication on the black market,start a fundraiser,switch insurance plans,take out a loan,"After doing this, Heinz gets into serious financial trouble. His wife has to go without medication, and she soon gets more ill."
2,"Josh is on the way to the airport to catch a flight to a hunting safari in Africa. He leaves with plenty of time to make it there, but his car breaks down on the highway. Now Josh is sitting in his car near a busy intersection, and knows he needs to get to airport soon if he is going to catch his flight.","You are on the way to the airport to catch a flight to a hunting safari in Africa. You leave with plenty of time to make it there, but your car breaks down on the highway. Now you are sitting in your car near a busy intersection, and know you need to get to airport soon if you are going to catch your flight.",call a taxi,demand that the airline delays the flight,reschedule for a later flight,steal a passing driver's car,take a public bus,try to convince a passing driver to trade cars,"Josh does not make his originally scheduled flight, so other people going on the safari have to wait for him."
3,"Brian is the evening manager at a bakery. Near the end of the day, he realizes that $50.75 is missing from the register and that he is responsible for accounting for the money at the end of the day. Brian knows he has to make sure the register is balanced or he might lose his job.","You are the evening manager at a bakery. Near the end of the day, you realize that $50.75 is missing from the register and that you are responsible for accounting for the money at the end of the day. You know you have to make sure the register is balanced or you might lose your job.",explain the situation to his boss,get an advance payday loan,overcharge the next customers,pay the money from his own wallet,sell one of his kidneys,stage a robbery,"After the owner of the bakery finds out what happened, she fires the entire staff working that day."
4,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","You decide to go to the gym on your lunch break to play a game of racquetball with a friend. When you get to the gym, you realize that your membership has expired since you last went. Since you left your phone at your desk in the office, you have no way of letting your friend know.",borrow someone's phone,crawl past the front desk,lie that she left her card inside,pay for a day-pass to the gym,pull the fire alarm,renew her membership,"Despite doing this, Liz cannot get into the gym, and she misses the racquetball game with her friends. Without Liz, her friends do not have enough players and must cancel the game. "
5,Mary is about to go to her final class of the day when she remembers that there is a homework assignment that is due. Mary’s mom accidentally took her homework assignment out of her backpack when she was making room for her lunch. Now Mary has nothing to turn in for credit.,You are an elementary school student about to go to your final class of the day when you remember that there is a homework assignment that is due. Your mom accidentally took your homework assignment out of your backpack when she was making room for your lunch. Now you have nothing to turn in for credit.,bring in the assignment the next day,call her mom,copy a friend's assignment,hypnotize the teacher,lie that her house burnt down,quickly try to redo the assignment,"After Mary does this, her teacher gives her a zero as her grade for the assignment."
6,"Brad and some friends are hiking through the mountains in the Canadian wilderness. A couple of days into their hike, Brad realizes that they are lost. He knows that a rescue crew could arrive before long, but it is extremely cold and they don’t have much food or water left.","You are hiking with some friends through the mountains in the Canadian wilderness. A couple of days into your hike, you realize that you are lost. You know that a rescue crew could arrive before long, but it is extremely cold and you don’t have much food or water left.",boost morale with a three-legged race,collect wood to start a fire,huddle to conserve energy,search for a water source,steal all of the food and water,throw away all of the food,"After Brad does this, he and his friends spend several days lost in the woods, cold, hungry, and thirsty. "
7,Darya is on her way to a concert with her friends. As they approach the entrance her friend Ted realizes he forgot his ticket at his house. The concert is about to start and Ted would likely miss most of the concert if he returned to his house for his ticket.,You are on your way to a concert with your friends. As you approach the entrance your friend Ted realizes he forgot his ticket at his house. The concert is about to start and Ted would likely miss most of the concert if he returns to his house for his ticket.,give her ticket to Ted,go without Ted,pretend they are conjoined twins,steal someone else's ticket,teleport into the concert,try to buy a ticket off another person,"After Darya does this, the concert staff at the entrance become suspicious of Darya and her friends and refuse to let them in."
8,"Eunice is sunbathing at the beach next to a family with young children. When the family is playing in the water, she sees a teenager begin to go through their belongings but she isn’t sure whether or not he’s part of the family.","You are sunbathing at the beach next to a family with young children. When the family is playing in the water, you see a teenager begin to go through their belongings but you're not sure whether or not he’s part of the family.",ask the parents if they know him,keep an eye on him,make cat noises at him until he leaves,read his mind,tackle him and hold him down,wave to the parents,"After Eunice does this, the family begins to feel uncomfortable about Eunice’s behavior and decides to leave the beach for the day."
9,Eamon is driving home on a two-lane road and thinks the driver ahead of him is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,You are driving home on a two-lane road and think the driver ahead of you is intoxicated. The car has been slowly drifting between the two lanes and is currently driving in the middle of road.,honk an angry message in Morse code,honk at the driver until they pull over,pull over and call 911,ram into the car,tailgate the car,take a detour at the next exit,"After Eamon does this, he drifting car crashes into another car, resulting in a pileup accident. "
10,Cameron is filling up his car at a gas station on his way home from work when a woman approaches him to ask for a ride to a nearby city. The city is in the same direction as his house but it’s 10 miles further than he planned to go.,You are filling up your car at a gas station on your way home from work when a woman approaches you to ask for a ride to a nearby city. The city is in the same direction as your house but it’s 10 miles further than you planned to go.,call her a cab,refuse to drive her,steal whatever she has on her,take her to his house but no further,turn invisible,yell in gibberish until she leaves,"After Cameron tries to do this, the woman attempts to walk all the way to her destination. As a result, the woman is late. "
11,"Erica is leaving the mall on a hot summer day. In the parking lot, she notices a dog in the back of a car without any of its windows open. The dog is panting heavily and looks tired.","You are leaving the mall on a hot summer day. In the parking lot, you notice a dog in the back of a car without any of its windows open. The dog is panting heavily and looks tired.",ask to use the mall's loudspeaker,call emergency services,check that the doors are locked,light a fire under the car,pour water on the car to cool it,slash the tires,The dog dies inside the car before anyone else arrives to help.
12,Carl is a chef on his way to a food festival in Chicago. He is in line to go through security at the airport when he realizes he accidentally brought a large knife in his bag.,You are a chef on your way to a food festival in Chicago. You are in line to go through security at the airport when you realize you accidentally brought a large knife in your bag.,ask to check the knife,hide the knife in someone else's bag,pretend the knife is part of a hip replacement,store the knife in an airport locker,take a train instead,threaten security with the knife,"The airport security becomes suspicious of Carl, so they take him in custody and he ends up missing the festival."
13,"Daniel is the ring bearer at his sister’s wedding. 10 minutes into the ceremony, he reaches into his pocket but the ring isn’t there. He realizes he left it on the seat next to him in the taxi.","You are the ring bearer at your sister’s wedding. 10 minutes into the ceremony, you reach into your pocket but the ring isn’t there. You realize you left it on the seat next to you in the taxi.",blame it on the maid of honor,borrow their mom’s wedding ring,call the taxi company,run away,steal someone else’s ring,tell his sister as soon as possible,"When his sister finds out her ring is missing, she is disappointed and decides to cancel the wedding."
14,"Andy’s mother just died and without her, his father is unable to take care of himself. Andy can’t afford to put his father in a retirement home and his apartment has barely enough room for one person.","Your mother just died and, without her, your father is unable to take care of himself. You can’t afford to put him in a retirement home and your apartment has barely enough room for one person.",abandon his father,buy his father a tent,check in on his father daily,get another job,move into his father’s apartment,pitch his situation to a reality TV network,"After Andy does this, his father’s mental and physical health quickly deteriorates."
15,Ahmed is the captain of a 50-passenger cruise ship. Four days into their trip they get caught in a storm and the engine breaks under the pressure. They are now stranded at sea. A rescue boat is on its way but might not arrive for a week. Their food supplies are quickly dwindling and Ahmed isn’t sure what to instruct the passengers and crew.,"You are the captain of a 50-passenger cruise ship. Four days into your trip, you get caught in a storm and the engine breaks under the pressure. You are now stranded at sea. A rescue boat is on its way but might not arrive for a week. The food supplies are quickly dwindling and you aren't sure what to instruct the passengers and crew.",organize a fishing crew,ration their food,request supplies to be airdropped,sell all the food to the highest bidder,serve engine fuel to the passengers,throw disobedient passengers off the boat,"After Ahmed tries this, several passengers suffer injuries from heatstroke and dehydration. "
16,Eva and Todd are on a mountain climbing trip in Arizona. In the middle of their longest day Todd slips and gets his arm trapped in a crevice. Eva tries calling 911 but she has no service. The sun is beating down on them and Eva is worried that she might be getting dehydrated as she unsuccessfully tries to get his arm out of the rock.,You and your friend Todd are on a mountain climbing trip in Arizona. In the middle of your longest day Todd slips and gets his arm trapped in a crevice. You try calling 911 but you have no service. The sun is beating down on you and you're worried that you might be getting dehydrated as you unsuccessfully try to get Todd's arm out of the rock.,get her arm stuck in solidarity,give Todd her water,hike until she finds cell service,leave Todd to save herself,saw Todd’s arm off,yell at Todd for getting stuck,"After Eva does this, Todd dies.  "
17,"Jeff works the night shift at a 24/7 convenience store. Every day at 7am the owner of the store, Jeff's boss, takes over for the morning shift. Today, Jeff has an important court appointment at 8am but his boss hasn't shown up yet and isn't returning his calls.","You work the night shift at a 24/7 convenience store. Every day at 7am the owner of the store, your boss, takes over for the morning shift. Today, you have an important court appointment at 8am but your boss hasn't shown up yet and isn't returning his calls.",ask a friend to take over,call his lawyer,leave the store unattended,lock up the store,stage a break-in at the store,tell his lawyer that he’s sick,"After the owner returns, she fires him."
