,Context_1,Context_2,Context_3,Context_4,Context_5,Context_6,Context_7,Context_8,Context_9,Context_10,Context_11,Context_12,Context_13,Context_14,Context_15,Context_16,Context_17,Context_18
group_1,ask family/friends,call a taxi,put his own money in,renew her membership,tell the teacher the truth,start a fire (not for signal),go without him,go talk to the family,call 911,ignore her,call 911,tell security the truth,call the taxi company,have his father move in with him,ration food,leave and search for help,call his boss,call for help
group_2,fundraise,call a tow truck/AAA,tell his manager the truth,use the front desk's phone,call her mom,call for help,skip the concert,talk to the teen,pull over,give her a full ride,break the windows,throw the knife away,tell the bride/groom,move in with his father,prioritize who gets food,just leave him,call a coworker,keep going/ignore the situation
group_3,seek government/charity assistance,hitchhike,lie about missing money/fudge numbers,borrow someone else's phone,redo assignment before class,keep hiking,go home to find ticket,yell at/confront the teen,pass the car,take her part of the way,check if door is locked,attempt to mail the knife,borrow someone's ring,find a new apartment,fish,stay with him,close the store,take competitor on her sled
group_4,take out a loan,call family/friends for help,ask his coworkers about missing money,leave the gym,copy someone else's homework,stay put/make shelter,give him her ticket,ignore the situation,take a detour,drive her for a price,notify mall staff,try to check the knife,stall the wedding,ask relatives for help,keep passengers calm,search for cell service/call 911,wait for his boss,stop and help
group_5,don't get treatment,miss/cancel trip,pool money with coworkers,sneak in,turn nothing in/do nothing,kill/eat his friends,try to buy another ticket,call 911,honk at the driver,refuse/say no,wait by the car,just hope they don't find the knife,buy a new ring,get a new job,kill/force people off the boat,search for water,stay at the store and miss his appointment,help/call then keep going
group_6,get another job,walk/run to the airport,ignore the missing money/do nothing,wait for her friend,skip class,search/hunt for food,help him sneak in,watch closely,slow down/avoid driver,lie about where he's going,do nothing,postpone his flight,lie,seek state help,radio/signal for help,cut off his arm,just leave the store,stay until help arrives
group_7,sell possessions,reschedule his flight,quit his job,ask to be let in for free,make up an excuse,find their way out/locate themselves,explain to venue/security,make a scene,ram into car/force off the road,call her a cab,search for owner,call a friend to pick it up,tell the officiant,check in on/take care of his father himself,lie to passengers about situation,keep trying to get his arm free,call the court and explain/reschedule,finish the race then tell someone
group_8,steal medicine,call his insurance,check camera footage,get a day/guest pass,go home to get assignment,tell truth/ask friends for help,be rude to/attack Ted,yell to the family/get their attention,follow driver,give her money,contact animal control,rent an airport locker,fake a illness/faint,kill his father,steal the food for himself,signal for help,ask family/friend to cover for him,steal their dogs
group_9,steal money,steal a car,recount money,go back to work (and don't tell friend),ask for an extension,flare/fire/signal for rescue crew,steal a ticket,take photos/record the teen,flash lights,yell at/curse at/scold her,shame the owner,leave it in his car,make a fake ring,seek charity help,turn to cannibalism,cover him for shade,quit his job,get help of other racers
group_10,ask for a discount from pharmacy/company,call the airline,blame someone else,leave a message for her friend,cry,abandon his friends,stay in parking lot,attack the teenager,flag down a police officer,tell her to call a car herself,set off the alarm,just get out of line/leave,search for the ring,hire a caretaker,ask for advice,kill him,leave a voicemail explaining to his boss,go get help
group_11,buy medicine anyway,ask a stranger for help,work the overtime himself,explain to her friend later,fake being sick,retrace their steps/find way back,call someone to bring the ticket,report to an authority nearby,make note of license number,pretend to be deaf,open the window,hide the knife,tell someone else,abandon/leave his father alone,explain the situation to passengers ,yell for help,text his boss,check on him
group_12,find cheaper alternative medication,take a bus,let staff work overtime,go back to office to call her friend,steal a classmate's assignment,ration their food,check for digital receipt/ticket,note characteristics of the teen,do nothing,call the police,yell for help,go home,pretend he has the ring,steal money,pretend nothing is wrong,give up/accept their deaths,leave a note without locking the store,run over the competitor
group_13,get new insurance,fix his car,search for the missing money,ask gym staff to contact her friend,get a note from her mom,do nothing,wait for him to get his ticket,leave,motion for driver to pull over,let her borrow his phone,ask other people nearby to help,pretend he didn't know about it,run away,talk to his father,let the passengers vote,save their urine for drinking ,call police to check on his boss,kill the competitor
group_14,ask insurance provider to pay for it,call emergency services,steal money to make up for it,just go home,turn it in late,find a water source,,also go through belongings,take a video,ask for more information,pick the lock,leave the knife at security,search for the taxi,crowdsource money,take the food for himself,wait until dark to do anything,call his boss' family/friends,report at next opportunity
group_15,,do nothing,overcharge remaining customers,find a payphone,,split up,,ask others nearby for help,call a friend,,comfort the dog,turn the knife in,panic/cry,get a loan,fix the engine,,,
group_16,,ditch his car,,just get lunch,,,,,pull up next to and inspect driver,,,threaten someone with the knife,use his own ring,ask neighbors/friends for help,keep passengers entertained,,,
group_17,,,,,,,,,,,,put it in someone else's bag,do nothing,put him in a homeless shelter,give up his own food,,,
group_18,,,,,,,,,,,,,,put him in a retirement home,,,,
group_0,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other
