Progress,Duration (in seconds),Finished,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,167,TRUE,,75,80,,,,91,,88,100,100,100,39,84,100,89,82,,,32,Female,White / Caucasian,,Some College,Rung 5,,call a taxi,stage a robbery,,,,go without Ted,,take a detour at the next exit,steal whatever she has on her,light a fire under the car,threaten security with the knife,run away,get another job,sell all the food to the highest bidder,leave Todd to save herself,tell his lawyer that he’s sick,
100,254,TRUE,,55,0,,,,0,,100,0,0,0,100,100,100,0,50,,,31,Male,Black / African American,,High School or equivalent,Rung 6,,steal a passing driver's car,sell one of his kidneys,,,,give her ticket to Ted,,honk at the driver until they pull over,turn invisible,ask to use the mall's loudspeaker,take a train instead,tell his sister as soon as possible,pitch his situation to a reality TV network,serve engine fuel to the passengers,saw Todd’s arm off,call his lawyer,
100,310,TRUE,,10,0,53,,30,60,6,4,95,0,,61,,,0,36,,,40,Female,White / Caucasian,,Some College,Rung 4,,reschedule for a later flight,pay the money from his own wallet,pull the fire alarm,,search for a water source,pretend they are conjoined twins,ask the parents if they know him,honk at the driver until they pull over,refuse to drive her,call emergency services,,steal someone else’s ring,,,give Todd her water,leave the store unattended,
100,357,TRUE,1,,,66,2,14,,38,,96,,49,51,81,81,,5,0,,49,Male,White / Caucasian,,Master's Degree (MS),Rung 5,start a fundraiser,,,renew her membership,call her mom,huddle to conserve energy,,make cat noises at him until he leaves,,steal whatever she has on her,,ask to check the knife,call the taxi company,buy his father a tent,request supplies to be airdropped,,ask a friend to take over,call for help
100,370,TRUE,0,15,0,,90,,0,40,85,0,15,,,,100,0,,35,,27,Male,Asian / Pacific Islander,,Master's Degree (MS),Rung 5,go on strike for better wages,try to convince a passing driver to trade cars,pay the money from his own wallet,,quickly try to redo the assignment,,give her ticket to Ted,read his mind,tailgate the car,yell in gibberish until she leaves,slash the tires,,,,throw disobedient passengers off the boat,leave Todd to save herself,,carry her competitor on her sled
100,344,TRUE,5,,100,100,100,0,50,,,,,100,60,90,5,,95,0,,39,Male,White / Caucasian,,Some College,Rung 5,start a fundraiser,,sell one of his kidneys,pull the fire alarm,lie that her house burnt down,collect wood to start a fire,pretend they are conjoined twins,,,,,pretend the knife is part of a hip replacement,steal someone else’s ring,abandon his father,organize a fishing crew,,lock up the store,finish the race
100,436,TRUE,0,0,0,49,82,2,20,0,5,,9,,,,,0,,100,,54,Female,White / Caucasian,,Master's Degree (MS),Rung 5,take out a loan,take a public bus,pay the money from his own wallet,crawl past the front desk,lie that her house burnt down,boost morale with a three-legged race,teleport into the concert,keep an eye on him,honk an angry message in Morse code,,pour water on the car to cool it,,,,,get her arm stuck in solidarity,,steal his dogs for extra speed
100,358,TRUE,0,50,,61,0,,,30,,0,100,,50,0,80,0,21,,,33,Female,White / Caucasian,,College Graduate (4 year),Rung 5,take out a loan,demand that the airline delays the flight,,lie that she left her card inside,quickly try to redo the assignment,,,make cat noises at him until he leaves,,call her a cab,light a fire under the car,,blame it on the maid of honor,check in on his father daily,sell all the food to the highest bidder,hike until she finds cell service,ask a friend to take over,
100,407,TRUE,100,100,100,,100,,100,,0,,50,100,,100,,0,100,100,,67,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 4,commit credit card fraud,demand that the airline delays the flight,overcharge the next customers,,hypnotize the teacher,,teleport into the concert,,pull over and call 911,,slash the tires,threaten security with the knife,,abandon his father,,yell at Todd for getting stuck,lock up the store,hide him in the snow
100,394,TRUE,,69,0,40,0,0,0,,0,0,0,100,0,,53,,,,,57,Female,White / Caucasian,,Some College,Rung 6,,reschedule for a later flight,get an advance payday loan,borrow someone's phone,bring in the assignment the next day,steal all of the food and water,go without Ted,,honk an angry message in Morse code,refuse to drive her,check that the doors are locked,hide the knife in someone else's bag,run away,,throw disobedient passengers off the boat,,,
