type,condition1,condition2,trialNo,target,stim1,stim2,stim3,stim4,stim5,stim6,key,ITI,presTime,ISI,presTimeS2,stimFormat,title,content,trialText,button1,feedbackIncorrect,feedbackTime,random,randomBlock,subjectGroup
instructions,na,na,na,na,na,na,na,na,na,na,na,600,na,na,na,na,Instructions,"In this study, we'd like you to make judgments about how likely it is that someone would do something. First we'll tell you about the situation.",na,na,na,na,na,na,1
instructions,na,na,na,na,na,na,na,na,na,na,na,600,na,na,na,na,Please read the following story:,"Heinzs wife has recently fallen ill and needs an expensive medication that is not covered by her medical insurance. They do not have the money needed to purchase the expensive prescription medication, but they know that it is vital for her to have it if she is going to recover.",na,Continue,na,na,na,1,1
instructions,na,na,na,na,na,na,na,na,na,na,na,600,na,na,na,na,Your job in this part of the study will be to answer this question: How likely is that Heniz would actually do each thing?,Go to the next page to start seeing different proposals for what Heinz could do.,na,na,na,na,na,1,1
test,possible,scenario1,1,How likely is Heinz to. . . sell some of his stocks or bonds?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,possible,scenario1,2,How likely is Heinz to. . . use a generic medication instead?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,possible,scenario1,3,How likely is Heinz to. . . buy a different insurance plan?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,possible,scenario1,4,How likely is Heinz to. . . enroll in federal healthcare?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,possible,scenario1,5,How likely is Heinz to. . . borrow the money from a bank?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,possible,scenario1,6,How likely is Heinz to. . . be given the money by a friend?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,possible,scenario1,7,How likely is Heinz to. . . loan the money from his family?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,possible,scenario1,8,How likely is Heinz to. . . sell an extra car for the money?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,impossible,scenario1,9,How likely is Heinz to. . . be given the money by a turtle?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,impossible,scenario1,10,How likely is Heinz to. . . make the money time traveling?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,impossible,scenario1,11,How likely is Heinz to. . . grow the money on a tree?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,impossible,scenario1,12,How likely is Heinz to. . . get the money by clapping?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,immoral,scenario1,13,How likely is Heinz to. . . steal the money from his work?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,immoral,scenario1,14,How likely is Heinz to. . . blackmail someone for the money?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,immoral,scenario1,15,How likely is Heinz to. . . commit credit card fraud?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,immoral,scenario1,16,How likely is Heinz to. . . get the medicine by stealing?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
test,improbable,scenario1,17,How likely is Heinz to. . . be  given the medicine by  a doctor?,Very likely,Somewhat likely,In between,Somewhat unlikely,Very unlikely,Not applicable,na,600,na,na,na,survey,na,na,na,na,na,na,1,1,1
