Progress,Duration (in seconds),Finished,UserLanguage,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,166,TRUE,EN,52,40,,50,,49,31,61,,40,,,50,19,40,,100,51,,42,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 6,start a fundraiser,take a public bus,,renew her membership,,throw away all of the food,steal someone else's ticket,keep an eye on him,,refuse to drive her,,,call the taxi company,move into his father’s apartment,request supplies to be airdropped,,stage a break-in at the store,steal his dogs for extra speed
100,219,TRUE,EN,,,30,,3,2,2,,1,57,1,100,34,,,1,10,2,,42,Male,White / Caucasian,,Master's Degree (MS),Rung 5,,,pay the money from his own wallet,,call her mom,huddle to conserve energy,go without Ted,,honk an angry message in Morse code,steal whatever she has on her,slash the tires,hide the knife in someone else's bag,run away,,,give Todd her water,tell his lawyer that he’s sick,leave her dogs with him
100,245,TRUE,EN,,,100,,0,20,85,,9,,0,100,100,1,2,0,0,,,32,Male,Asian / Pacific Islander,,Some College,Rung 2,,,explain the situation to his boss,,call her mom,search for a water source,give her ticket to Ted,,honk at the driver until they pull over,,ask to use the mall's loudspeaker,threaten security with the knife,blame it on the maid of honor,pitch his situation to a reality TV network,sell all the food to the highest bidder,give Todd her water,call his lawyer,
100,209,TRUE,EN,0,0,,,0,0,0,,0,,100,100,0,0,0,,,100,,60,Male,White / Caucasian,,College Graduate (4 year),Rung 6,take out a loan,steal a passing driver's car,,,quickly try to redo the assignment,search for a water source,teleport into the concert,,honk an angry message in Morse code,,light a fire under the car,pretend the knife is part of a hip replacement,tell his sister as soon as possible,abandon his father,ration their food,,,hide him in the snow
100,233,TRUE,EN,,,86,65,,28,50,61,72,5,1,,81,,,15,30,1,,46,Female,White / Caucasian,,College Graduate (4 year),Rung 6,,,stage a robbery,borrow someone's phone,,collect wood to start a fire,give her ticket to Ted,tackle him and hold him down,tailgate the car,call her a cab,call emergency services,,steal someone else’s ring,,,hike until she finds cell service,ask a friend to take over,call for help
100,341,TRUE,EN,0,60,0,100,0,,,70,,0,,63,,72,0,,100,82,,29,Male,White / Caucasian,,Some College,Rung 8,commit credit card fraud,reschedule for a later flight,sell one of his kidneys,crawl past the front desk,bring in the assignment the next day,,,ask the parents if they know him,,call her a cab,,store the knife in an airport locker,,abandon his father,request supplies to be airdropped,,leave the store unattended,steal his dogs for extra speed
100,355,TRUE,EN,30,,0,100,0,,10,,0,0,100,100,,,,100,0,0,,51,Female,White / Caucasian,,College Graduate (4 year),Rung 3,go on strike for better wages,,explain the situation to his boss,pull the fire alarm,quickly try to redo the assignment,,try to buy a ticket off another person,,take a detour at the next exit,yell in gibberish until she leaves,light a fire under the car,threaten security with the knife,,,,get her arm stuck in solidarity,lock up the store,carry her competitor on her sled
100,356,TRUE,EN,51,82,89,72,60,,,68,,64,,44,,,81,64,81,26,,20,Female,White / Caucasian,,Some College,Rung 5,start a fundraiser,reschedule for a later flight,overcharge the next customers,borrow someone's phone,lie that her house burnt down,,,read his mind,,turn invisible,,take a train instead,,,throw disobedient passengers off the boat,leave Todd to save herself,leave the store unattended,call for help
100,342,TRUE,EN,,,9,100,99,91,,60,,100,39,,29,70,81,60,,19,,57,Male,White / Caucasian,,College Graduate (4 year),Rung 7,,,get an advance payday loan,pay for a day-pass to the gym,bring in the assignment the next day,boost morale with a three-legged race,,ask the parents if they know him,,steal whatever she has on her,ask to use the mall's loudspeaker,,call the taxi company,buy his father a tent,sell all the food to the highest bidder,saw Todd’s arm off,,finish the race
100,346,TRUE,EN,3,96,,,93,,94,,100,6,3,10,,3,94,1,10,,,56,Female,White / Caucasian,,Some College,Rung 2,search for the medication on the black market,steal a passing driver's car,,,lie that her house burnt down,,try to buy a ticket off another person,,ram into the car,take her to his house but no further,pour water on the car to cool it,take a train instead,,get another job,throw disobedient passengers off the boat,get her arm stuck in solidarity,call his lawyer,
