scenario_id_fr,text,group
1_1_1,Ask family/friends for money.,1
1_2_1,start a fundraiser,2
1_3_1,Steal the money to get the medicine,9
1_4_1,Start a gofundme page,2
1_5_1,Steal the medicine,8
1_6_1,Sell things,7
1_7_1,Heinz could ask his family for help,1
1_8_1,Ask family for money,1
1_9_1,Try to raise the money through GoFundMe,2
1_10_1,Sell some personal possessions,7
1_11_1,Start a charity for his wife,2
1_12_1,Heinz try to claim medical loan,4
1_13_1,Set up a go-fund- me to raise month.,2
1_14_1,ask if generic is available,12
1_15_1,Sell one of his kidneys,7
1_16_1,Ask a relative to borrow the money to purchase medication,1
1_17_1,apply for medical welfare,3
1_18_1,Heinz can start a GoFundMe page to help with the costs.,2
1_19_1,Ask friends and family for funds.,1
1_20_1,plead with the pharmacy for the medication,10
1_21_1,start a fundraiser,2
1_22_1,deplete his savings account,11
1_23_1,Find extra jobs to make money.,6
1_24_1,steal money,9
1_25_1,Ask friends and family members for help,1
1_26_1,ask for help,0
1_27_1,ask a bank for a loan,4
1_28_1,Reach out to family,1
1_29_1,steal the medication,8
1_30_1,start a GoFundMe,2
1_31_1,Pull the plug,5
1_32_1,Borrow the money for the medication,4
1_33_1,Steal the medication.,8
1_34_1,Take out a loan to pay for the medicine.,4
1_35_1,Start a GoFundMe for his wife,2
1_36_1,Start a fundraiser,2
1_37_1,Ask family for money ,1
1_38_1,Ask a friend for some money.,1
1_39_1,Take out a loan.,4
1_40_1,ask for help,1
1_41_1,see about getting insurance,13
1_42_1,dip into savings,11
1_43_1,Ask her doctor for a generic medication that costs less.,12
1_44_1,Take out a loan to cover it,4
1_45_1,steal it,8
1_46_1,Heinz could seek help from friends.,1
1_47_1,Deal drugs,0
1_48_1,shop around for new insurance,13
1_49_1,Get a loan from a bank or other lender,4
1_50_1,Start an online crowd funding campaign on go fundme to pay for it.,2
1_51_1,Call a pharmacist friend and plead for help.,1
1_52_1,ask a friend to borrow the money,1
1_53_1,Start a gofundme to get the medication.,2
1_54_1,Contact the medication company to see if they have a plan to help. ,14
1_55_1,Heinz could rob a bank to pay for the medication,9
1_56_1,"Check prices in Canada, usually cheaper.",12
1_57_1,expensive money in medication,0
1_58_1,ask for help,1
1_59_1,Inform the doctor of the situation.,0
1_60_1,raise money for it,2
1_61_1,Seek help from social nertworks,1
1_62_1,Fundraise,2
1_63_1,ask relatives and friends to borrow money,1
1_64_1,rob a pharmacy,8
1_65_1,Start a gofundme,2
1_66_1,Take a loan,4
1_67_1,ask the doctor for generic cheaper version,12
1_68_1,Try to find alternative therapy ,12
1_69_1,Ask family for help,1
1_70_1,set up a crowdsource donation campaign online,2
1_71_1,Try to get through the illness without the medicine,5
1_72_1,Take out a loan for the medication,4
1_73_1,Contact the drugmaker to see if they qualify for help,10
1_74_1,Go ask for help with purchasing the medication from family.,1
1_75_1,Take up a GoFundMe drive to get money for the medication,2
1_76_1,Start a GoFundMe,2
1_77_1,steal the medication,8
1_78_1,gofund me,2
1_79_1,Take out a loan,4
1_80_1,Ask friends for money.,1
1_81_1,Create a GoFundMe for the medicine.,2
1_82_1,Ask doctor for samples,12
1_83_1,"Ask the doctor for a lot of ""samples""",12
1_84_1,get a loan for the medication,4
1_85_1,Steal the money for the medicine.,9
1_86_1,Heinz can raise money.,2
1_87_1,He will try to get the money from strangers.,2
1_88_1,Buy medicine,11
1_89_1,"do crowd source funding (gofundme, etc)",2
1_90_1,let her die,5
1_91_1, Corporate Accounting Department in the month-end ,0
1_92_1,Ask people for money,1
1_93_1,Start a fundraiser,2
1_94_1,Rob a bank to get the money needed to pay for the medication,9
1_95_1,sell some things to raise the money,7
1_96_1,ask the pharmacist if there is an alternative drug that costs less,12
1_97_1,have a friend fake symptoms to get it covered on their insurance,0
1_98_1,HEinz could ask for a loan from his bank,4
1_99_1,Setup a crowd funding website,2
1_100_1,Ask a charity for help.,3
1_101_1,borrow money from loved ones,1
1_102_1,Try to get a loan from a bank.,4
1_103_1,steal the medicine,8
1_104_1,Get a loan,4
1_1_2,Try and find it cheaper elsewhere.,12
1_2_2,steal the medication,8
1_3_2,Steal the medicine,8
1_4_2,ask family for help,1
1_5_2,Get a second job to help afford it,6
1_6_2,Accept fate and die,5
1_7_2,Heinz could ask friends for help,1
1_8_2,Sell their house for money,7
1_9_2,Take out a personal loan to cover the costs,4
1_10_2,Create a gofund me account.,2
1_11_2,reach out to family members and ask for money,1
1_12_2,Heinz try to get help from others,1
1_13_2,Take out a loan for the medication.,4
1_14_2,seek out help from outside agencies,3
1_15_2,Get a second job,6
1_16_2,Find an alternative cheaper medication,12
1_17_2,ask a doctor if there's any comparable medication that is cheaper,12
1_18_2,Heinz can call the drug manufacturer and see if they can help reduce the expense.,10
1_19_2,Publicly request help on social media.,2
1_20_2,create a fake insurance card,8
1_21_2,ask for a loan,4
1_22_2,take out a loan,4
1_23_2,Ask family for help.,1
1_24_2,Rob pharmacist for meds,8
1_25_2,start a gofundme page,2
1_26_2,see about a discount,12
1_27_2,ask family for a loan,1
1_28_2,Reach out to charities,3
1_29_2,get free health care somewhere,12
1_30_2,ask friends for money,1
1_31_2,Ask for a loan,4
1_32_2,Ask for the money to be a loan,4
1_33_2,Raise money for the medication. ,2
1_34_2,Buy it using their credit card.,4
1_35_2,Look for other insurance alternatives,13
1_36_2,Ask family for help,1
1_37_2,Break in steal the meds,8
1_38_2,Pick up a second job in order to make more money.,6
1_39_2,Borrow the money from family.,1
1_40_2,a loan,4
1_41_2,steal it,8
1_42_2,put on a credit card,4
1_43_2,Get a supplemental health insurance.,13
1_44_2,Ask for charity care,3
1_45_2,pay for it,11
1_46_2,Heinz could tell his wife that everything is under control to prevent her from feeling worse.,0
1_47_2,Credit card fraud,9
1_48_2,get a 2nd opinion,12
1_49_2,Pawn some belongings at the pawn shop,7
1_50_2,Have Heinz get another job.,6
1_51_2,Call the company that manufactures the medication and ask for a sample.,10
1_52_2,ask the doctor if there is an alternative,12
1_53_2,Steal the medication.,8
1_54_2,Find out if there is a charity that can help them out. ,3
1_55_2,Heinz could rob a pharmacy for the drug directly,8
1_56_2,"Write to medicine company, they usually have lower prices for those who don't have insurance.",12
1_57_2,but not covered by her medical insurance,0
1_58_2,Ask for a different medicine,12
1_59_2,Ask family for money.,1
1_60_2,sell some valuables,7
1_61_2,Will try to sell his property,7
1_62_2,Ask family,1
1_63_2,take on another job to earn more money,6
1_64_2,not get the medication,5
1_65_2,Ask family members in person,1
1_66_2,Fundraise,2
1_67_2,call the pharmaceutical company and ask for financial assistance,14
1_68_2,Ask for help from a church ,3
1_69_2,Start a go fund me page,2
1_70_2,ask friends and family for help,1
1_71_2,Use a cheaper alternative,12
1_72_2,Borrow money from a relative or friend,1
1_73_2,Ask people for help through crowdsourcing,2
1_74_2,Ask friends what they can do to help Heinz with getting the medication for his wife.,1
1_75_2,Steal the medication from the pharmacy,8
1_76_2,Ask relatives and friends for funds,1
1_77_2,travel to another country to get it cheaper,12
1_78_2,social media outcry for help,2
1_79_2,Set up a fundraiser,2
1_80_2,Commit insurance fraud.,9
1_81_2,Ask family and friends to help pay for the medicine.,1
1_82_2,ask pharmacist if the company has discounts,10
1_83_2,Call an advocacy group to help pay for drugs,2
1_84_2,work a second job for the money,6
1_85_2,Steal the medicine from a pharmacy.,8
1_86_2,Heinz can ask for a loan.,4
1_87_2,He will take out a loan.,4
1_88_2,Insurance claim,13
1_89_2,contact her MD,12
1_90_2,ask a doctor for help,12
1_91_2,"their plans include coverage for over 3,000 drugs so you",14
1_92_2,Not get the medication,5
1_93_2,Ask family or friends for money,1
1_94_2,Start selling drugs to get the money needed,8
1_95_2,take on part time work,6
1_96_2,ask the doctor if there is another medication that costs less or is covered by her insurance,12
1_97_2,steal the medication ,8
1_98_2,He could request for an advance at work,6
1_99_2,Go to a local church for donations,3
1_100_2,Ask a family member or friend for money,1
1_101_2,steal the needed money,9
1_102_2,Try to get a loan from a friend or family member.,4
1_103_2,get different insurance,13
1_104_2,Borrow money from friend,1
1_1_3,Take out a loan.,9
1_2_3,steal money to pay for the medicine,9
1_3_3,Try and get others to donate to help,2
1_4_3,look for government assistance,3
1_5_3,Ask for a discount,10
1_6_3,Start a go fund me page,2
1_7_3,Heinz could set up a Go Fund Me,2
1_8_3,Break into the pharmacy and steal the medicine,8
1_9_3,Write letters to rich people and explain the situation,2
1_10_3,Borrow from family and friends,1
1_11_3,Ask the hospital to finance it,10
1_12_3,Heinz try to seek a good job,6
1_13_3,Contact his congresspeople for help.,3
1_14_3,try to find a way to come up with the money to pay for it,0
1_15_3,take out a second mortgage,4
1_16_3,Talk to the medical person and find out if there is another way to get the medication,12
1_17_3,contact a local spiritual assembly to start a donation fund,3
1_18_3,Heinz can seek out a prescription assistance program.,3
1_19_3,Start a Go Fund Me for the meds.,2
1_20_3,steal the medication,8
1_21_3,steal the medicine,8
1_22_3,withdraw from his 401 K,14
1_23_3,Ask friends and strangers for help.,1
1_24_3,kidnap doctor ,0
1_25_3,look for different treatment,12
1_26_3,go somewhere else,12
1_27_3,ask friends for a loan,1
1_28_3,Reach out to the local community,3
1_29_3,get experimental treatment,12
1_30_3,ask family for money,1
1_31_3,Get help from a friend,1
1_32_3,Sell things to get the money,7
1_33_3,Ask a relative to pay for the medication. ,1
1_34_3,Steal the medicine.,8
1_35_3,Come up with a payment plan to purchase the medication,4
1_36_3,Ask friends for help,1
1_37_3,"Get a gun, mask and by force get the meds",8
1_38_3,Ask the bank for a loan.,4
1_39_3,Don't get the operation.,5
1_40_3,friends,1
1_41_3,pay for it,11
1_42_3,borrow from family,1
1_43_3,See if the pharmacy will take a payment plan.,10
1_44_3,Steal it from the pharmacy,8
1_45_3,complain,0
1_46_3,Heinz could take a loan.,4
1_47_3,Take out a loan,4
1_48_3,try holistic methods,12
1_49_3,Ask his family and friends to borrow him some money,1
1_50_3,Have Heinz's wife find an online job like transcription to pay for it.,6
1_51_3,Change medical insurance to one that will cover the medication.,13
1_52_3,ask if there is a discount at the pharmacy,10
1_53_3,Steal money for the medication.,9
1_54_3,Contact a government office to see if there is a program that can help them. ,3
1_55_3,Heinz could threaten the pharmaceutical company,10
1_56_3,Write to insurance company to reconsider this med because she has to have it.,10
1_57_3,neede money for purchasing,0
1_58_3,check with family and friends,1
1_59_3,Ask friends for money.,1
1_60_3,work extra hours,6
1_61_3,Will try renew insurance ,13
1_62_3,Go into debt,4
1_63_3,steal the prescription medicine,8
1_64_3,apply for prescription benefits,3
1_65_3,Buy cheaper stuff from Mexico,12
1_66_3,Borrow money from a family member,1
1_67_3,call insurance for help cover,14
1_68_3,Not take medicine ,5
1_69_3,Ask a friend for help,1
1_70_3,meet with social worker and see if they can help,3
1_71_3,Steal the medication,8
1_72_3,Rob a bank to get the money,9
1_73_3,Ask the doctor for alternatives,12
1_74_3,Go to his local county health department if they can help refer him to an agency that can help them get the medication.,3
1_75_3,Start a second job to earn more money to buy the medication,6
1_76_3,Apply for government assistance,3
1_77_3,see if they will give it to him for free,10
1_78_3,ask family for help,1
1_79_3,Steal money,9
1_80_3,Take out a loan from a bank.,4
1_81_3,Just don't get the medicine.,5
1_82_3,ask for a generic version,12
1_83_3,Ask pharmacist for generic drug/coupon/rebate,10
1_84_3,rob a bank,9
1_85_3,Allow his wife to die.,5
1_86_3,Heinz can steal money.,9
1_87_3,He will steal the medication.,8
1_88_3,Hospitalised,0
1_89_3,contact the pharmacy,10
1_90_3,ask a pharmacist for help,10
1_91_3,need at an affordable rate. Use Cigna's online tool to find,14
1_92_3,steal the medication,8
1_93_3,Get a second insurance policy,13
1_94_3,try to find a legal side job he can do temporarily ,6
1_95_3,ask friends and family for help,1
1_96_3,steal the drug from the pharmacy,8
1_97_3,get a generic version from the drugstore pharmacy ,12
1_98_3,he could wait till he has saved up enough,5
1_99_3,Work through a medical insurance program paid directly by people instead of the company,13
1_100_3,Steal the medicine.,8
1_101_3,pay it alone,11
1_102_3,Create a crowdfunding page online.,2
1_103_3,go without medication,5
1_104_3,Get better medical insurance,13
1_1_4,Pay it anyways.,11
1_2_4,apply for a loan,4
1_3_4,Ask if there are any cheaper alternatives,12
1_4_4,talk to their insurance company,14
1_5_4,Find a different insurance that will cover it,13
1_6_4,Pray for miricle,0
1_7_4,Heinz could steal the money somewhere,9
1_8_4,Steal the money,9
1_9_4,Put it on a credit card and then work extra hours to pay it off,6
1_10_4,Rob a bank,9
1_11_4,Try to make a viral video and collect money,2
1_12_4,Heinz try to get a job for more paid,6
1_13_4,Contact the maker of the prescription to see if they will lower the price. ,10
1_14_4,look for prescription coupons or discount services,10
1_15_4,appeal his insurance's decision,14
1_16_4,Sell personal item to get money from medication,7
1_17_4,sell items in their home that they don't use anymore,7
1_18_4,Heinz can call his Congressional Representative and Senators to see if they can help.,3
1_19_4,State your case to your insurance provider.,14
1_20_4,go without the medication,5
1_21_4,find out if there are any assistance programs,3
1_22_4,re-mortgage his house,4
1_23_4,Start a GoFundMe.,2
1_24_4,start go fund me,2
1_25_4,Not get the treatment,5
1_26_4,ask about a different medication,12
1_27_4,put it on a credit card,4
1_28_4,Start a go fund me,11
1_29_4,work more to get the money,6
1_30_4,let his wife die,5
1_31_4,Ask if there is another medication,12
1_32_4,Get a part time job,6
1_33_4,Get new insurance that covers the medication.,13
1_34_4,Try crowdfunding online to raise funds for the medicine.,2
1_35_4,Seek government assistance such as Medicaid,3
1_36_4,Try and see if the medication is cheaper elsewhere,12
1_37_4,Hire a mercenary to get it,8
1_38_4,Go into their emergency savings fund and use that money.,11
1_39_4,Steal the money from someone.,9
1_40_4,grants,3
1_41_4,find another medication,12
1_42_4,take on another job,6
1_43_4,Take the medication every other day to extend it.,12
1_44_4,Get a new job to get new insurance,6
1_45_4,let her get sicker,11
1_46_4,Heinz could take a public donation for his wife.,2
1_47_4,Get a better job,6
1_48_4,take out a loan,4
