Progress,Duration (in seconds),Finished,ResponseId,S1_1_1,S2-1_1,S3-1_1,S4-1_1,S5-1_1,S6-1_1,S7-1_1,S8-1_1,S9-1_1,S10-1_1,S11-1_1,S12-1_1,S13-1_1,S14-1_1,S15-1_1,S16-1_1,S17-1_1,S18-1_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,66,1,R_1GvpGpQQbiYBfnI,,,69,70,,73,66,64,41,65,84,31,,34,,66,40,,,33,2,5,,5,5,,,get an advance payday loan,borrow someone's phone,,steal all of the food and water,try to buy a ticket off another person,keep an eye on him,honk at the driver until they pull over,steal whatever she has on her,check that the doors are locked,take a train instead,,move into his father’s apartment,,saw Todd’s arm off,leave the store unattended,
100,255,1,R_1N2Z1GzBFRl3YBe,0,60,,0,,0,,10,90,0,0,0,,,11,,70,0,,32,1,5,,5,6,switch insurance plans,take a public bus,,renew her membership,,search for a water source,,wave to the parents,ram into the car,turn invisible,ask to use the mall's loudspeaker,take a train instead,,,organize a fishing crew,,ask a friend to take over,call for help
100,272,1,R_3ekx7NJcMObqhFD,51,68,0,0,78,,59,,,100,,,83,15,0,0,0,,,23,1,3,,5,8,commit credit card fraud,take a public bus,get an advance payday loan,pull the fire alarm,lie that her house burnt down,,give her ticket to Ted,,,steal whatever she has on her,,,call the taxi company,buy his father a tent,request supplies to be airdropped,give Todd her water,call his lawyer,
100,267,1,R_YbrQ7OWRWIXnv2h,95,0,100,,0,,0,88,51,,0,100,97,71,91,,,,,48,2,5,,6,5,go on strike for better wages,try to convince a passing driver to trade cars,stage a robbery,,call her mom,,go without Ted,ask the parents if they know him,honk at the driver until they pull over,,pour water on the car to cool it,store the knife in an airport locker,blame it on the maid of honor,move into his father’s apartment,ration their food,,,
100,137,1,R_2zHLXSCx1QHkTMl,88,85,,91,,,93,92,86,,88,,,91,88,88,91,89,,58,1,5,,6,1,take out a loan,call a taxi,,renew her membership,,,go without Ted,read his mind,pull over and call 911,,check that the doors are locked,,,check in on his father daily,organize a fishing crew,yell at Todd for getting stuck,leave the store unattended,steal his dogs for extra speed
100,122,1,R_3npwPQrbifXO6jg,,77,,48,65,83,45,61,,,65,,,81,77,96,73,75,,32,2,1,,4,6,,call a taxi,,pay for a day-pass to the gym,call her mom,steal all of the food and water,steal someone else's ticket,read his mind,,,ask to use the mall's loudspeaker,,,buy his father a tent,request supplies to be airdropped,give Todd her water,stage a break-in at the store,leave her dogs with him
100,223,1,R_3Lhho3PsKdfyzh3,,0,,,100,0,94,,,85,0,,18,0,0,0,88,0,,35,2,5,,5,7,,steal a passing driver's car,,,call her mom,huddle to conserve energy,teleport into the concert,,,turn invisible,light a fire under the car,,steal someone else’s ring,check in on his father daily,throw disobedient passengers off the boat,saw Todd’s arm off,call his lawyer,call for help
100,300,1,R_3iVVSANPxR5WlRe,0,71,0,,0,,100,28,20,,,30,4,,19,70,,0,,31,2,5,,4,7,take out a loan,reschedule for a later flight,pay the money from his own wallet,,bring in the assignment the next day,,steal someone else's ticket,keep an eye on him,honk an angry message in Morse code,,,hide the knife in someone else's bag,call the taxi company,,ration their food,leave Todd to save herself,,steal his dogs for extra speed
100,335,1,R_Q3w2rlThFkUO4pP,80,60,90,20,,100,,,80,40,0,,0,100,0,,65,,,36,2,5,,2,8,search for the medication on the black market,take a public bus,overcharge the next customers,crawl past the front desk,,huddle to conserve energy,,,pull over and call 911,yell in gibberish until she leaves,check that the doors are locked,,run away,abandon his father,request supplies to be airdropped,,ask a friend to take over,
100,338,1,R_2wRWpzazg3N09JH,,0,100,10,100,0,,100,100,0,0,80,,0,70,,,,,61,1,5,,6,7,,steal a passing driver's car,stage a robbery,pay for a day-pass to the gym,copy a friend's assignment,boost morale with a three-legged race,,read his mind,ram into the car,take her to his house but no further,slash the tires,pretend the knife is part of a hip replacement,,pitch his situation to a reality TV network,serve engine fuel to the passengers,,,
100,340,1,R_2YJmTV727NXQYTo,83,,1,,,51,6,7,,21,30,0,8,32,,,74,0,,28,2,5,,4,5,search for the medication on the black market,,overcharge the next customers,,,throw away all of the food,teleport into the concert,wave to the parents,,call her a cab,pour water on the car to cool it,threaten security with the knife,steal someone else’s ring,pitch his situation to a reality TV network,,,leave the store unattended,hide him in the snow
