type,condition1,condition2,condition3,trialNo,target,stim1,stim2,stim3,key,ITI,presTime,ISI,presTimeS2,stimFormat,title,content,trialText,button1,feedbackIncorrect,feedbackTime,random,randomBlock,keyboard,subjectGroup,responseWindow
instructions,na,na,,na,na,na,na,na,,600,na,na,na,na,Instructions,"In this study, we'd like you to tell us whether it is true or false that something may happen. To indicate that it is true that something may happen, please press the [f] key; to indicate that it is false that something may happen, please press the [j] key. To get you used to the task, you will first go through a warm-up phase. On these trials, press [f] if you see the word ""true"" and [j] if you see the word ""false"". ***You will have to respond very quickly, so please pay attention!***",na,na,na,na,na,0,,1,na
practice,practice,practice,,1,FALSE,na,na,na,j,600,na,na,na,word,That's not right! false is [j].,na,na,na,get ready to keep going,1000,1,0,f j,1,1250
practice,practice,practice,,2,TRUE,na,na,na,f,600,na,na,na,word,That's not right! true is [f].,na,na,na,get ready to keep going,1000,1,0,f j,1,1250
practice,practice,practice,,3,FALSE,na,na,na,j,600,na,na,na,word,That's not right! false is [j].,na,na,na,get ready to keep going,1000,1,0,f j,1,1250
practice,practice,practice,,4,TRUE,na,na,na,f,600,na,na,na,word,That's not right! true is [f].,na,na,na,get ready to keep going,1000,1,0,f j,1,1250
practice,practice,practice,,5,FALSE,na,na,na,j,600,na,na,na,word,That's not right! false is [j].,na,na,na,get ready to keep going,1000,1,0,f j,1,1250
practice,practice,practice,,6,TRUE,na,na,na,f,600,na,na,na,word,That's not right! true is [f].,na,na,na,get ready to keep going,1000,1,0,f j,1,1250
practice,practice,practice,,7,FALSE,na,na,na,j,600,na,na,na,word,That's not right! false is [j].,na,na,na,get ready to keep going,1000,1,0,f j,1,1250
practice,practice,practice,,8,TRUE,na,na,na,f,600,na,na,na,word,That's not right! true is [f].,na,na,na,get ready to keep going,1000,1,0,f j,1,1250
practice,practice,practice,,9,FALSE,na,na,na,j,600,na,na,na,word,That's not right! false is [j].,na,na,na,get ready to keep going,1000,1,0,f j,1,1250
practice,practice,practice,,10,TRUE,na,na,na,f,600,na,na,na,word,That's not right! true is [f].,na,na,na,get ready to keep going,1000,1,0,f j,1,1250
